Position,TeamName,Played,W,D,L,G scored,G conceded,GD,PTS
1,Barcelona,3,3,0,0,6,3,3,9
2,Villarreal,3,2,1,0,8,6,2,7
3,Celta Vigo,3,2,0,1,8,6,2,6
4,Atletico Madrid,3,1,2,0,5,2,3,5
5,Leganes,3,1,2,0,3,2,1,5
6,Real Madrid,2,1,1,0,4,1,3,4
7,Osasuna,2,1,1,0,2,1,1,4
8,Rayo Vallecano,3,1,1,1,3,3,0,4
9,Athletic Club,3,1,1,1,3,3,0,4
10,Deportivo Alaves,3,1,1,1,3,3,0,4
11,Real Valladolid,3,1,1,1,1,3,-2,4
12,Real Sociedad,3,1,0,2,3,4,-1,3
13,Getafe,2,0,2,0,1,1,0,2
14,Real Betis,2,0,2,0,1,1,0,2
15,Sevilla,3,0,2,1,3,4,-1,2
16,Mallorca,3,0,2,1,1,2,-1,2
17,Las Palmas,2,0,1,1,3,4,-1,1
18,Espanyol,3,0,1,2,0,2,-2,1
19,Girona,2,0,1,1,1,4,-3,1
20,Valencia,3,0,0,3,2,6,-4,0
